Gene.name	GO.term.accession
lmna	GO:0005829
hax1	GO:0005739
lrwd1	PSYGENET:CXXX~No diseases associated
terf2ip	GO:0031848
axl	GO:0007283
vps45	GO:0005515
LOC100703713	HPO:HPO:XXX~No HPO phenotype
LOC100703104	GO:0032869
cntd2	GO:0005813
nedd4l	GO:0016567
LOC100709003	GO:0048260
nle1	GO:0005515
pgap1	PSYGENET:CXXX~No diseases associated
zbtb17	GO:0003700
LOC100695466	MGD:MP:0005095~decreased T cell proliferation
p2rx4	UP_TISSUE:Liver
elk3	CGI:CXXX~No diseases associated
ppp1r12a	GO:0005829
mpi	CLINGEN:CXXX~No diseases associated
stat3	HPO:HP:0031035~Chronic infection
LOC100708147	UP_TISSUE:Endothelial cell
aifm2	GO:0016491
psmd7	REACTOME_PATHWAY:R-HSA-69275~G2/M Transition
add2	GO:0005829
tfap2a	DISGENET:C0039075~Syndactyly
LOC100695663	GO:0010820
dgcr8	UP_TISSUE:Muscle
sh3yl1	GO:0035091
cct6a	GO:0006457
tshr	MGD:MP:0005185~decreased circulating progesterone level
LOC102082062	
LOC100711833	HPO:HP:0000548~Cone/cone-rod dystrophy
ndufs2	GO:0005747
LOC100705716	REACTOME_PATHWAY:R-HSA-212436~Generic Transcription Pathway
mboat7	GO:0005789
kcnj11	GO:0071333
gli1	HPO:HP:0001629~Ventricular septal defect
LOC100712136	MGD:MP:0000852~small cerebellum
dnah2	GO:0007018
atr	
LOC102082062	
LOC100706746	GO:0044877
tbc1d2	GO:0005096
LOC100711139	UP_TISSUE:PNS
f5	GAD_DISEASE:Arteriosclerosis|Peripheral Vascular Diseases
p2ry6	GO:0006909
irf9	GO:0000785
babam2	GO:0007095
tmem121b	ORPHANET:CXXX~No diseases associated
npc1	HPO:HP:0001252~Muscular hypotonia
pdk4	CTD:C0400966~Non-alcoholic Fatty Liver Disease
atg16l1	GO:0005829
kcnc2	GO:0005886
men1	DISGENET:C0346647~Malignant neoplasm of pancreas
setd4	GO:0005829
LOC102082062	
adam9	GO:0006508
lama2	MGD:MP:0020380~abnormal galactolipid level
LOC100704059	GO:0014070
siae	GO:0001681
trappc12	GO:0016192
LOC100700667	MGD:MP:0005498~hyporesponsive to tactile stimuli
LOC100706642	MGD:MP:XXX~No phenotype
pdap1	
cdipt	UP_TISSUE:Heart
mboat7	GO:0005515
cxadr	GO:0044297
nop14	GO:0000472
tbx1	GO:0008284
LOC100711808	REACTOME_PATHWAY:R-HSA-6802955~Paradoxical activation of RAF signaling by kinase inactive BRAF
il10	GAD_DISEASE:Endometriosis|Uterine Diseases
sec23a	GO:0048471
acot7	GO:0070062
kcnj8	GO:0045444
ints8	GO:0005634
LOC100702944	GO:0015630
sgcz	GAD_DISEASE:Prostatic Neoplasms
sigirr	PSYGENET:CXXX~No diseases associated
LOC100704256	GO:0005886
LOC100694953	GAD_DISEASE:Cardiomyopathy, Hypertrophic|Hypertrophy, Left Ventricular|Tachycardia, Ventricular
otc	GAD_DISEASE:hypertension
htt	GO:0005737
hypk	GO:0015630
LOC100689934	GO:0043262
col22a1	GAD_DISEASE:Alzheimer Disease
ilf3	GO:0001618
aimp1	GO:0005783
LOC100691895	HPO:HP:0001511~Intrauterine growth retardation
LOC100698523	UNIPROT:C1319315~Adenocarcinoma of large intestine
rasa3	GO:0009898
LOC100712332	GAD_DISEASE:nicotine
LOC102078679	GO:0005737
ciao3	
LOC100698400	GO:0033179
LOC100694653	REACTOME_PATHWAY:R-HSA-73857~RNA Polymerase II Transcription
LOC100701982	GO:0097718
kiaa0753	
gprc5b	ORPHANET:CXXX~No diseases associated
fem1b	UP_TISSUE:Thalamus
LOC100534453	CTD:C4551898~Cholestasis, progressive familial intrahepatic 1
plpp2	GO:0008195
atf7	GO:0006357
msh2	GAD_DISEASE:Lymphoma, Follicular|Lymphoma, Large B-Cell, Diffuse
glra1	GO:0045211
rela	REACTOME_PATHWAY:R-HSA-9692914~SARS-CoV-1-host interactions
LOC100709275	HPO:HP:0002875~Exertional dyspnea
nek10	GO:0106310
ralgapb	UP_TISSUE:Kidney
pdzd7	HPO:HP:0000739~Anxiety
atp5po	KEGG_PATHWAY:hsa01100
jam2	GO:0005886
cd226	MGD:MP:0003721~increased tumor growth/size
tpm1	GO:0001725
mark2	GO:0004674
gabbr2	REACTOME_PATHWAY:R-HSA-418594~G alpha (i) signalling events
psmb8	GO:0010498
dhcr7	HPO:HP:0001680~Coarctation of aorta
stat3	GO:0042127
LOC100700510	GO:0005737
dars2	GO:0005654
ubap1	REACTOME_PATHWAY:R-HSA-162588~Budding and maturation of HIV virion
cnga1	GO:0005886
prom1	GO:2000768
rars2	GO:0005524
tcf4	
nfs1	GO:0016740
LOC100694887	MGD:MP:0005036~diarrhea
foxd3	GO:0000122
uba1	GO:0006974
LOC100698323	GO:0016538
LOC100710697	DISGENET:C0004153~Atherosclerosis
spon2	CGI:CXXX~No diseases associated
LOC100704721	GO:0004741
fhl1	DISGENET:C1846010~URUGUAY FACIOCARDIOMUSCULOSKELETAL SYNDROME
LOC100708930	UP_TISSUE:Teratocarcinoma
vps45	UP_TISSUE:Brain
LOC100712264	GO:0032731
LOC102082062	
vtcn1	MGD:MP:0009763~increased sensitivity to induced morbidity/mortality
rpl14	GO:0022626
xiap	GO:0043154
otc	HPO:HP:0000737~Irritability
LOC102082062	
LOC100690035	MGD:MP:0013957~increased small intestine length
sord	REACTOME_PATHWAY:R-HSA-5652084~Fructose metabolism
armc10	GO:0016020
mlycd	KEGG_PATHWAY:hsa04152
becn1	MGD:MP:0004800~decreased susceptibility to experimental autoimmune encephalomyelitis
LOC100689797	GO:0150104
irf7	GO:0005634
LOC102082062	
LOC100708840	GO:0019722
eif3b	UP_TISSUE:Uterus
naga	DISGENET:C0751718~Late Infantile Neuroaxonal Dystrophy
LOC100707702	MGD:MP:0001399~hyperactivity
bccip	UP_TISSUE:Cervix carcinoma
xpc	HPO:HP:0000509~Conjunctivitis
sphk2	GO:0016020
LOC100708272	GO:0005737
rttn	MGD:MP:0002151~abnormal neural tube morphology
hes1	GO:0048844
LOC100711011	
mnx1	GO:0005634
LOC100698471	GO:0006338
tbk1	
LOC100691860	REACTOME_PATHWAY:R-HSA-8939211~ESR-mediated signaling
cidec	GO:0005829
nr2f1	HPO:HP:0000365~Hearing impairment
LOC100707635	GO:0004306
musk	HPO:HP:0002093~Respiratory insufficiency
rab2a	ORPHANET:CXXX~No diseases associated
ell	KEGG_PATHWAY:hsa03250
apaf1	MGD:MP:0001922~reduced male fertility
rps6	GO:0032040
LOC102082062	
cdh16	GO:0016339
ppp2r5a	GO:0031430
LOC100710669	GO:0004175
rnf8	GO:0005515
mff	GO:0006626
LOC100703259	GO:0050908
rps7	MGD:MP:0004616~lumbar vertebral transformation
LOC100702162	GO:0015431
LOC100711419	MGD:MP:0002083~premature death
hnrnpu	GO:0005829
irs2	REACTOME_PATHWAY:R-HSA-9027284~Erythropoietin activates RAS
ppard	GO:0004879
LOC100693191	GO:0030672
LOC109195519	GO:0008289
LOC100709054	GO:0051726
slc26a2	PSYGENET:CXXX~No diseases associated
hax1	
fbl	GO:0001649
LOC100701678	HPO:HP:0003312~Abnormal form of the vertebral bodies
LOC100712046	MGD:MP:0002080~prenatal lethality
adgrb3	GO:0043083
bsx	GO:0005634
pqbp1	UNIPROT:C0796135~Renpenning syndrome 1
rps3a	GO:0005730
coq4	HPO:HP:0001662~Bradycardia
LOC100702708	GO:0007399
piezo1	UP_TISSUE:Liver
dglucy	UP_TISSUE:Neuroblastoma
akap9	MGD:MP:0000186~decreased circulating HDL cholesterol level
LOC100697229	GO:0015439
map1b	MGD:MP:0000813~abnormal hippocampus layer morphology
LOC100707702	DISGENET:C0751111~Awakening Epilepsy
arsg	DISGENET:C0027877~Neuronal Ceroid-Lipofuscinoses
LOC100692790	GO:0003357
wdr34	DISGENET:C3810200~SHORT-RIB THORACIC DYSPLASIA 11 WITH OR WITHOUT POLYDACTYLY
trim2	GO:0016740
LOC100699905	GO:0071363
st3gal3	GO:0008373
fam189b	GO:0008150
pde8b	UNIPROT:C3280094~PIGMENTED NODULAR ADRENOCORTICAL DISEASE, PRIMARY, 3
tmprss6	GO:0016787
cacnb2	GO:0007268
LOC100692709	GO:0005737
LOC100693372	KEGG_PATHWAY:hsa04514
pomt1	HPO:HP:0003327~Axial muscle weakness
LOC100697675	MGD:MP:0001364~decreased anxiety-related response
tsen34	GO:0006397
ryr2	GO:0006941
tmub2	CLINGEN:CXXX~No diseases associated
nup43	REACTOME_PATHWAY:R-HSA-180746~Nuclear import of Rev protein
LOC100702312	HPO:HP:0010469~Absent testis
LOC100706088	GO:0045893
rnls	GO:0002931
fnbp4	
LOC102082918	GO:0007417
LOC100709545	GO:0051015
hsp90b1	UP_TISSUE:Skin
lamc1	MGD:MP:0011108~embryonic lethality during organogenesis, incomplete penetrance
cntd1	GO:0007283
LOC100703297	CTD:C0376524~Branchio-Oculo-Facial Syndrome
ndufs5	CRB:CRB:0000018~Negative hit with Survival No Antioxidants CRISPRi in Glutamatergic Neuron
smox	GO:0005654
osbpl6	GO:0005829
LOC100709268	UP_TISSUE:Brain cortex
cldn12	UP_TISSUE:Cervix carcinoma
LOC102082062	
spc25	GO:0007059
itgb1	GO:0001968
pdlim5	GO:0098793
lck	GAD_DISEASE:Lupus Erythematosus, Systemic|Systemic lupus erythematosus
p2rx4	GO:0050850
men1	HPO:HP:0000854~Thyroid adenoma
ubl5	CRB:CRB:0000048~Negative hit with Survival CRISPRi in Glutamatergic Neuron
itgb1bp1	CRB:CRB:0000048~Negative hit with Survival CRISPRi in Glutamatergic Neuron
ndufa10	HPO:HP:0001629~Ventricular septal defect
chd1l	GO:0005654
col1a1	GO:0001501
axl	MGD:MP:0000783~abnormal forebrain morphology
cask	GO:0016740
trim13	GO:0005789
bmpr1b	GO:0016020
usb1	GO:0000175
jak1	GO:0031625
acbd5	PSYGENET:CXXX~No diseases associated
eif3j	REACTOME_PATHWAY:R-HSA-72702~Ribosomal scanning and start codon recognition
LOC100708038	GO:0003924
actn3	GO:0046872
arx	HPO:HP:0002187~Intellectual disability, profound
p53	GO:0140677
LOC100706113	GO:0016020
nos1	DISGENET:C0236804~Amphetamine Addiction
saal1	
ara	GAD_DISEASE:ADHD and conduct disorder
LOC100696204	REACTOME_PATHWAY:R-HSA-3781865~Diseases of glycosylation
LOC100708747	REACTOME_PATHWAY:R-HSA-1643685~Disease
atp2b2	CTD:C1832394~Deafness, Autosomal Recessive 12
btd	GO:0007417
chd4	GO:0140658
pik3c3	MGD:MP:0008075~decreased CD4-positive, alpha beta T cell number
mlc1	GO:0031410
LOC100702499	GO:0008283
aplp1	CTD:CXXX~No diseases associated
ada	GO:0019239
prdm4	UNIPROT:CXXX~No diseases associated
terf1	GO:0042803
daxx	GO:0005730
LOC100709964	MGD:MP:0002095~abnormal skin pigmentation
skp1	REACTOME_PATHWAY:R-HSA-69275~G2/M Transition
fmn1	MGD:MP:0008730~fused phalanges
mybpc3	GO:0005829
npl	REACTOME_PATHWAY:R-HSA-446203~Asparagine N-linked glycosylation
fgb	GO:0005102
amacr	CTD:C0205649~Adenoma, Monomorphic
LOC100704787	GO:0010668
rpl23	GO:1904667
slc5a10	GO:0015755
pik3r1	KEGG_PATHWAY:hsa01521
LOC100699299	GO:2000177
polb	GO:0003677
LOC100696671	DISGENET:C0600427~Cocaine Dependence
LOC100709284	GO:0005432
LOC100695234	UP_TISSUE:Colon
sox10	MGD:MP:0001732~postnatal growth retardation
mccc2	GO:0005739
LOC102082809	
nagk	GO:0046835
zbtb33	MGD:MP:0003447~decreased tumor growth/size
LOC100698817	GO:0070098
ets1	GO:1990837
smarca4	GO:0045944
grsf1	GO:0005759
LOC100710205	GO:0007599
neurl1b	GO:0070086
parn	GO:0016787
LOC100689844	GO:0005765
vdac1	GO:0006090
LOC100690092	GO:0005764
ikbkg	MGD:MP:0001262~decreased body weight
ctnnb1	CGI:C0919267~ovarian neoplasm
zdhhc2	MGD:MP:0003769~abnormal lip morphology
LOC100691074	REACTOME_PATHWAY:R-HSA-209560~NF-kB is activated and signals survival
thoc7	GO:0000347
LOC100694718	MGD:MP:0008568~abnormal interleukin secretion
fgfr3	MGD:MP:0001925~male infertility
LOC100705046	GO:0030574
LOC109194170	GO:0007165
psme2	REACTOME_PATHWAY:R-HSA-5607761~Dectin-1 mediated noncanonical NF-kB signaling
LOC100698426	GO:0016020
gdnf	REACTOME_PATHWAY:R-HSA-419037~NCAM1 interactions
ppm1b	GO:0006470
LOC100690564	GO:0005737
elp1	
rps14	GO:0015935
rbm41	GO:0097157
rad9a	
tmem94	UP_TISSUE:Liver
ttll9	GO:0031514
cd36	KEGG_PATHWAY:hsa04920
sult1a4	GO:0008146
ercc6	MGD:MP:0001405~impaired coordination
ebp	GO:0005789
LOC100702259	GO:0061629
hars	GO:0090304
kras	MGD:MP:0008770~decreased survivor rate
tmem179	GO:0016020
gnas	GO:0019001
LOC100703533	CRB:CRB:0000024~Negative hit with Survival No Antioxidants PSAP KO CRISPRi in Glutamatergic Neuron
sema6d	GAD_DISEASE:Body Mass Index
elp4	GO:0002098
grem2	GAD_DISEASE:Tobacco Use Disorder
trak1	HPO:HP:0010844~EEG with multifocal slow activity
b9d1	GO:0030030
prkaa1	GO:0008284
LOC100694804	MGD:MP:0002983~increased retinal ganglion cell number
aff3	GO:0005634
lg5h3orf67	CRB:CRB:XXX~No CRB phenotype
mthfr	GAD_DISEASE:Brain Ischemia
cenpt	GO:0051382
baz1b	GO:0006325
LOC100690099	GO:0016460
LOC100698381	REACTOME_PATHWAY:R-HSA-372790~Signaling by GPCR
ssb	GO:0075522
mta2	GO:0016020
cask	GO:0016740
tifa	GO:0007249
parp16	GO:0140806
fam234a	GO:0009986
snx15	CRB:CRB:0000046~Association with Survival CRISPRi in Glutamatergic Neuron
LOC109203834	GO:0005666
vcp	HPO:HP:0000719~Inappropriate behavior
LOC100703919	
LOC100698426	GO:0005794
map3k8	GO:0004672
ndufaf6	HPO:HP:0002063~Rigidity
nckap1l	GO:0030011
dync1i1	GO:0000776
mgat2	REACTOME_PATHWAY:R-HSA-9772573~Late SARS-CoV-2 Infection Events
lg10hxorf57	CRB:CRB:XXX~No CRB phenotype
slc1a2	GO:0005313
acp1	GAD_DISEASE:Coronary Artery Disease|Diabetes Mellitus, Type 2|
uba5	GO:0046872
tmco1	GO:0032469
thsd1	HPO:HP:0007029~Cerebral berry aneurysm
fgf2	CTD:C4721507~Alveolitis, Fibrosing
dhrs1	GO:0006617
rps7	GO:0003723
hsp70	GO:0061740
LOC100705178	GO:0005506
csk	CRB:CRB:0000030~Negative hit with Survival PSAP KO CRISPRi in Glutamatergic Neuron
LOC100695744	UP_TISSUE:Placenta
LOC102082062	
col4a1	KEGG_PATHWAY:hsa04510
npas4	MGD:MP:0002064~seizures
LOC100711592	HPO:HP:0000639~Nystagmus
vps41	UP_TISSUE:Testis
LOC102082062	
snupn	GO:0061015
LOC100700952	CTD:C0007131~Non-Small Cell Lung Carcinoma
LOC100701393	GO:0009055
slc13a3	GO:0015293
LOC100699478	GO:0000132
LOC100710008	GAD_DISEASE:hypertension
LOC102082062	
grp	GO:0005515
mthfr	GAD_DISEASE:abdominal aortic aneurysm homocysteine hypertension
mff	GO:0090314
spag6	GO:0015630
clcc1	GO:0005789
fgfr3	HPO:HP:0011867~Abnormality of the wing of the ilium
LOC100696335	GO:0005765
scaper	CLINGEN:CXXX~No diseases associated
washc1	GO:0005770
plat	DISGENET:C0020649~Hypotension
egr3	GO:0007422
LOC100698634	MGD:MP:0001265~decreased body size
LOC100700080	DISGENET:C0007786~Brain Ischemia
plek	GO:0030036
LOC100700394	GO:0015732
pex5	GO:0005794
ctnnd1	UP_TISSUE:Cervix carcinoma
LOC100690123	GO:0005515
lzic	PSYGENET:CXXX~No diseases associated
med27	GO:0005634
rnmt	GO:0005845
LOC100706113	GO:1902600
mppe1	GO:0005794
LOC102083054	GO:0005886
gstz1	GO:0005829
arhgap5	UP_TISSUE:Brain
serpine2	ORPHANET:CXXX~No diseases associated
LOC100691039	CTD:CXXX~No diseases associated
pik3r5	KEGG_PATHWAY:hsa04611
LOC100696066	GO:0008150
trim2	UNIPROT:C3809655~CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2R
fgf2	GO:0042060
uba5	CRB:CRB:0000022~Association with Survival No Antioxidants PSAP KO CRISPRi in Glutamatergic Neuron
hykk	GO:0016310
p53	GO:0043066
wdr24	GO:0005515
LOC100704471	GO:0000139
hspb8	HPO:HP:0009053~Distal lower limb muscle weakness
LOC100709000	GO:0007169
rab40c	GO:0003924
slc18a2	MGD:MP:0011479~abnormal catecholamine level
abat	GO:0009450
LOC100691233	GO:0004721
lg14h19orf47	CTD:CXXX~No diseases associated
LOC100712261	GO:0008233
mospd2	REACTOME_PATHWAY:R-HSA-168256~Immune System
msh6	GO:0030983
wwp2	GO:0070534
homer3	GO:0032703
LOC100534567	DISGENET:C0751074~Diabetic Neuralgia
LOC100707845	GO:0004197
tmem205	GO:0005575
cnot4	GO:0005634
LOC100711328	GO:0070538
LOC100700388	GO:0017080
LOC102076859	HPO:HPO:XXX~No HPO phenotype
ntrk2	GO:0051716
pex7	HPO:HP:0000007~Autosomal recessive inheritance
flrt3	DISGENET:C0342384~Idiopathic hypogonadotropic hypogonadism
LOC100707988	GO:0040037
LOC100708428	CRB:CRB:0000024~Negative hit with Survival No Antioxidants PSAP KO CRISPRi in Glutamatergic Neuron
elp4	CRB:CRB:0000048~Negative hit with Survival CRISPRi in Glutamatergic Neuron
epha4	GO:0030335
phlpp1	GAD_DISEASE:Tobacco Use Disorder
LOC100694697	PSYGENET:CXXX~No diseases associated
LOC100690323	REACTOME_PATHWAY:R-HSA-9816359~Maternal to zygotic transition (MZT)
rspo2	MGD:MP:0004596~abnormal mandibular angle morphology
cntd2	CGI:CXXX~No diseases associated
rab31	GO:0005525
LOC100698909	GO:0005737
LOC100697588	HPO:HP:0012430~Cerebral white matter hypoplasia
LOC100699955	GO:0005789
ska3	GO:0000776
LOC100694416	GO:0005739
chrac1	GO:0005721
snrnp27	DISGENET:C0004238~Atrial Fibrillation
LOC109194280	
naprt	GO:0005829
nfe2l2	GO:0010468
LOC100691194	CGI:CXXX~No diseases associated
casp7	GO:0005515
cyld	GO:0002376
emc1	HPO:HP:0002079~Hypoplasia of the corpus callosum
LOC100690952	GO:0000122
lig4	GO:0005958
phf14	GO:0072201
LOC100699274	GO:0005739
pah	GAD_DISEASE:Autism
hoxc4	GO:0009952
opn3	UP_TISSUE:Cervix carcinoma
pigw	HPO:HP:0002650~Scoliosis
tmem205	ORPHANET:CXXX~No diseases associated
grik2	GO:0007215
flt1	REACTOME_PATHWAY:R-HSA-194138~Signaling by VEGF
tcf21	GO:0048536
tacc3	GO:0043231
prpf3	GO:0005634
ftsj1	GO:0016423
mib1	REACTOME_PATHWAY:R-HSA-2691232~Constitutive Signaling by NOTCH1 HD Domain Mutants
LOC100691095	MGD:MP:0008284~abnormal hippocampus pyramidal cell layer
arhgef12	GO:0005737
lig4	GAD_DISEASE:breast cancer
lmod3	GO:0007015
LOC100705170	HPO:HP:0000007~Autosomal recessive inheritance
psmd2	GO:0043161
lhx9	GO:0005634
cops8	CRB:CRB:0000046~Association with Survival CRISPRi in Glutamatergic Neuron
snrnp70	GO:0030619
rbms3	GO:1990904
serpinf1	GO:0010596
kcnj6	CRB:CRB:XXX~No CRB phenotype
LOC100697507	MGD:MP:0002757~decreased vertical activity
vma21	GO:0070072
LOC100692868	GO:0045211
mettl1	GO:0043527
LOC100701678	GO:0007264
itgav	GO:1901388
LOC100690208	GO:0048167
dzank1	GO:0005856
LOC100696343	GO:0048167
LOC100700731	GO:0061578
arhgef7	GO:0007030
tbc1d2b	GO:0005096
LOC100691739	GO:0005515
recql4	GAD_DISEASE:bladder cancer
nfkbia	DISGENET:C1266194~Lymphocyte Rich Classical Hodgkin Lymphoma
ctnnb1	GO:0005515
znhit3	HPO:HP:0001347~Hyperreflexia
dnm1	CTD:C0086237~Epilepsy, Cryptogenic
LOC100703114	GO:0005515
hdac5	GO:0016607
dcc	HPO:HP:0002891~Uterine leiomyosarcoma
lhx4	HPO:HP:0000864~Abnormality of the hypothalamus-pituitary axis
trim37	DISGENET:C0016063~Osteitis Fibrosa Disseminata
gipc2	CLINGEN:CXXX~No diseases associated
LOC100705175	GO:0016324
ciao1	MGD:MP:XXX~No phenotype
ptpn14	GO:0016791
LOC100691607	GO:0003725
shc1	REACTOME_PATHWAY:R-HSA-1643713~Signaling by EGFR in Cancer
nup88	GO:0005643
lmna	GO:0030951
chek2	GO:0106310
LOC100705007	GO:0005634
atp7a	MGD:MP:0001525~impaired balance
ezh1	
wdr73	UP_TISSUE:Lung
sod2	CTD:C0949857~Mitochondrial Respiratory Chain Deficiencies
stat3	MGD:MP:0002273~abnormal pulmonary alveolus epithelial cell morphology
mmel1	HPO:HP:0000820~Abnormality of the thyroid gland
LOC100711913	GO:0061298
LOC100699240	MGD:MP:0001783~decreased white adipose tissue amount
mrps18a	GO:0006412
stat4	HPO:HP:0000123~Nephritis
pgm1	GO:0000287
LOC100689844	GO:0005769
b4gat1	PSYGENET:CXXX~No diseases associated
bcl7b	GO:0006357
LOC100698564	KEGG_PATHWAY:hsa04010
rbmx	GO:0003723
LOC100698688	CGI:C1961102~Precursor Cell Lymphoblastic Leukemia Lymphoma
ndufv1	GO:0070469
pdia3	GO:0005788
slc27a6	GO:0000038
LOC100693400	GO:0005634
LOC100694081	GO:0006654
wdr7	GO:0005515
LOC100691587	GO:0034551
srebf1	GO:0008610
hes1	CTD:C0700367~Ependymoblastoma
nbn	GAD_DISEASE:cytogenetic studies
rock1	KEGG_PATHWAY:hsa04062
tmem19	GO:0016020
LOC100691860	GO:1905564
alox5	GO:0031965
LOC109199076	PSYGENET:CXXX~No diseases associated
scg5	GO:0005576
ptprd	MGD:MP:0002270~abnormal pulmonary alveolus morphology
LOC102082489	GO:0016020
LOC100705836	MGD:MP:0000226~abnormal mean corpuscular volume
LOC100690092	GO:0070062
LOC100693325	GO:0004095
gsk3b	GAD_DISEASE:esophageal adenocarcinoma
gapvd1	GO:0045296
stx18	MGD:MP:0011100~preweaning lethality, complete penetrance
frem1	MGD:MP:0030368~trigonocephaly
cxcr4	MGD:MP:0000220~increased monocyte cell number
LOC100698882	GO:0043204
LOC100691386	GO:0006355
sumo1	MGD:MP:0000274~enlarged heart
cnn3	CRB:CRB:0000020~Positive hit with Survival No Antioxidants PSAP KO CRISPRa in Glutamatergic Neuron
LOC100694258	GO:0016491
anxa2	GO:0005604
phf20	MGD:MP:0001823~thymus hypoplasia
LOC100707737	GO:0005634
sgk1	GO:0005783
snap47	CRB:CRB:0000031~Association with Reactive Oxygen Species (CellRox Intensity) in Glutamatergic Neuron
pax5	GO:0006355
clic1	GO:0016020
nf2	GO:0030336
trmt1	GO:0008757
clasp1	GO:0006903
LOC100701678	HPO:HP:0008736~Hypoplasia of penis
LOC102077946	GO:2000318
cps1	GO:0050667
spast	HPO:HP:0001250~Seizure
hyal2	ORPHANET:CXXX~No diseases associated
senp7	GO:0005737
LOC102082062	
LOC100710349	GO:0016787
daxx	REACTOME_PATHWAY:R-HSA-157579~Telomere Maintenance
tmem9	GO:0032585
LOC100692146	GO:0048024
npr1	MGD:MP:0002128~abnormal blood circulation
LOC100705258	GAD_DISEASE:depressive disorder, major
LOC102082062	GO:0005688
LOC100700425	GO:1990904
arhgap15	REACTOME_PATHWAY:R-HSA-194315~Signaling by Rho GTPases
fkrp	HPO:HP:0001319~Neonatal hypotonia
lig4	MGD:MP:0006283~increased medulloblastoma incidence
LOC100710649	GO:0001786
dpy19l1	GO:0000030
phyh	GENOMICS_ENGLAND:C0034960~Refsum Disease
mras	DISGENET:C0600178~External Carotid Artery Diseases
itgb4	GO:0007155
LOC100707394	MGD:MP:0003974~abnormal endocardium morphology
uchl1	MGD:MP:0002913~abnormal PNS synaptic transmission
LOC102082062	
grp	GO:0042995
tcf19	GO:0005515
dock10	GO:0030334
LOC100708044	CTD:CXXX~No diseases associated
tmem131l	HPO:HPO:XXX~No HPO phenotype
nfrkb	UP_TISSUE:Testis
LOC100700731	GO:0005634
mrps33	GO:0005739
tsr2	HPO:HP:0001419~X-linked recessive inheritance
chac1	GO:0005737
bves	GO:0007155
fktn	GO:0046329
gtf2h4	GO:0005634
tnfaip3	MGD:MP:0008217~abnormal B cell activation
naxd	GO:0110051
LOC100691739	GO:0035725
fzd4	CLINGEN:CXXX~No diseases associated
drg1	GO:0016020
LOC100702499	GAD_DISEASE:Platelet Count
dgke	GO:0016310
pdgfra	GO:0030054
tp53i3	GO:0006739
LOC100702891	GO:0071897
mgat4a	REACTOME_PATHWAY:R-HSA-9694548~Maturation of spike protein
LOC100710835	REACTOME_PATHWAY:R-HSA-112316~Neuronal System
tial1	GO:0003676
LOC100704025	REACTOME_PATHWAY:R-HSA-2262752~Cellular responses to stress
hnf1a	REACTOME_PATHWAY:R-HSA-210745~Regulation of gene expression in beta cells
LOC100703894	UNIPROT:C0006142~Malignant neoplasm of breast
canx	GO:0005789
LOC102075836	GO:0008201
LOC100708685	DISGENET:C0011581~Depressive disorder
LOC106096419	GO:0016020
irf6	GO:0003677
fbxw7	GO:1901800
ppm1l	GO:0004721
LOC100702251	GO:0004402
nudt9	GO:0046032
mgrn1	GO:0005783
glra2	GO:1904315
clic1	GO:0005615
rnf7	GO:0046872
LOC100708747	REACTOME_PATHWAY:R-HSA-446728~Cell junction organization
ybx1	UP_TISSUE:Brain
fgf2	GO:0040037
ccdc77	UP_TISSUE:Lymphoblast
LOC102082062	
ift43	HPO:HP:0001394~Cirrhosis
acot13	UP_TISSUE:Liver
zbtb20	GO:0001227
ubr5	GO:0006281
btbd3	GO:0005829
LOC102082062	
mto1	CRB:CRB:0000046~Association with Survival CRISPRi in Glutamatergic Neuron
mpp7	REACTOME_PATHWAY:R-HSA-194315~Signaling by Rho GTPases
prkaa2	MGD:MP:0011478~abnormal urine catecholamine level
LOC100699513	HPO:HP:0007773~Vitreoretinopathy
b4galt2	GO:0005794
mrps30	GO:0032543
ckap5	GO:0000922
sptlc1	MGD:MP:0011091~prenatal lethality, complete penetrance
dmc1	MGD:MP:0002777~absent ovarian follicles
cdh23	HPO:HP:0030521~Bitemporal hemianopia
mthfr	GAD_DISEASE:Adrenoleukodystrophy|Demyelinating Diseases|Metabolic Diseases
LOC100703774	CTD:C0005283~beta Thalassemia
asic2	GO:0015280
LOC109204597	GO:0055085
slc27a4	UNIPROT:C1837610~ICHTHYOSIS PREMATURITY SYNDROME
LOC100698352	GENOMICS_ENGLAND:CXXX~No diseases associated
cldn1	GO:0005923
LOC100705827	KEGG_PATHWAY:hsa04722
mllt10	GO:0046872
ift27	GO:0005929
LOC100534482	GO:0016740
ghr1	GO:0005515
nthl1	GO:0016787
anxa2	UP_TISSUE:Liver
ndufb3	GO:0070469
becn1	GO:0071280
col1a1	MGD:MP:0000559~abnormal femur morphology
LOC100693785	MGD:MP:0010053~decreased grip strength
klf7	GO:0000981
map3k5	DISGENET:C0030567~Parkinson Disease
rgma	GO:0045944
agtr1	GO:0035813
atp10a	GO:0034204
ccnh	GO:0006366
maf1	MGD:MP:0003961~decreased lean body mass
pdik1l	GO:0106310
cnot1	GO:0000932
LOC100707414	MGD:MP:0008209~decreased pre-B cell number
LOC100692481	GO:0005758
LOC102082062	
blcap	GO:0006915
sod1	DISGENET:C0011581~Depressive disorder
fyn	GO:0030425
appl2	GO:0046325
alox5	GO:0061044
cdk20	GO:0000166
tfr2	GO:0005737
dapk3	GO:0042803
dtna	GO:0099536
LOC100705918	GO:0005515
